,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
4202,10/22/03 6:45,Rockford,IL,US,light,120.0,1 -2 min,Spectral kind of light 20 degrees above the horizon than vanished.,10/31/03,42.271111100000006,-89.09388890000001
4203,10/22/03 7:00,Anchorage,AK,US,other,30.0,30sec,Me and my freinds saw a red light and it whent straight up fast (no plain can move up that fast)then disapered after about 30 sec,10/31/03,61.2180556,-149.90027780000003
4204,10/22/03 8:00,Winfield (Canada),BC,CA,rectangle,0.0,?,i have a picture of what can only be a ufo,10/31/03,50.02,-119.41
4205,10/22/03 8:06,New River,AZ,US,other,60.0,1 minute,I looked out of the bus window and saw a horseshoe-shaped thing flying away like it had just taken off.,12/19/03,33.915833299999996,-112.1352778
4206,10/22/03 10:20,Wichita,KS,US,cross,0.0,southeast,Cross Shape UFO Seen Wichita&#44ks and then vanishd.,10/31/03,37.6922222,-97.33722220000001
4207,10/22/03 14:00,Murrells Inlet,SC,US,disk,1800.0,30 minutes,A Huge Silver Disk was Hovering 300 ft. over our Pontoon 15 minutes while fishing near the jetties in the Atlantic Ocean&#33,6/2/13,33.5508333,-79.04166670000001
4208,10/22/03 14:00,Murrells Inlet,SC,US,disk,600.0,about 10 minutes,I SAW LARGE SHINY DISC SHAPED (UFO) FLYING OVER MURRELLS INLET&#44 S.C. WHILE FISHING&#33,4/14/09,33.5508333,-79.04166670000001
4209,10/22/03 18:24,Centerton,AR,US,sphere,10.0,5-10 seconds,Saw an object flying higher and faster than anything I&#39ve seen before&#44 travelling in a straight line,10/31/03,36.3597222,-94.285
4210,10/22/03 18:30,Cliffside,NC,US,sphere,30.0,30 sec,south of post office in cliffside. moveing east to west almost as fast as you could turn your head,10/31/03,35.2380556,-81.77
4211,10/22/03 18:40,Skyline Drive,UT,,disk,240.0,4 min.,Watched 3 disk shaped objects&#44 stationary&#44 and in a v-formation&#44 for about 4 minutes.,10/31/03,39.44307,-111.343607
4212,10/22/03 19:00,Houston (Canada),BC,CA,light,180.0,3 minutes,HBCCUFO CANADIAN REPORT:  Huge bright light drops right over the tree tops.,10/31/03,54.4,-126.65
4213,10/22/03 19:20,Rachel,NV,US,oval,0.0,55,Iam an insurance salesman born April 9&#44 1947&#44 age 56. I have lived in Northern Nevada since I was age 16. I am college educated in the,11/8/03,37.644722200000004,-115.7427778
4214,10/22/03 20:00,Dover,AR,US,unknown,18000.0,5 hrs,To whom this may concern and please take seriously&#44 We could not contact or find a no. to call.While looking at the northen star on 10/,10/31/03,35.40138889999999,-93.1141667
4215,10/22/03 20:00,Rockford,ID,US,oval,0.0,ufo sighting,My sister and I were leaving Blackfoot to head out to Aberdeen where Ab-Cent Myndid (local band) was recording a EP. when we came up to,10/31/03,43.1897222,-112.5338889
4216,10/22/03 20:54,Houston (Canada),BC,CA,fireball,4.0,3 to 4 seconds,HBCCUFO CANADIAN REPORT:  Large blue fireball steaks across the sky.,10/31/03,54.4,-126.65
4217,10/22/03 20:55,Wikieup,AZ,US,formation,4.0,hour and half,UFO ENCOUNTER IN ARIZONA,10/31/03,34.7033333,-113.61055559999998
4218,10/22/03 21:00,Abingdon,VA,US,fireball,1800.0,30 minutes,Fireball reported by numerous persons in rural VA,10/31/03,36.7097222,-81.9775
4219,10/22/03 21:00,Bouse,AZ,US,light,180.0,3 minutes&#44 twice,Multiple rows of bright yellowish lights seen against night sky,10/31/03,33.9325,-114.005
4220,10/22/03 21:00,Cheltenham (Uk/England),,GB,fireball,1800.0,30mins,Fireballs on garden,10/31/03,51.9,-2.083333
4221,10/22/03 21:11,Martinsville,IN,US,diamond,20.0,20 sec.,they had flashing lights and left a green and red formation in the sky it 4 red lines and a green one,10/31/03,39.4277778,-86.42833329999999
4222,10/22/03 23:00,Chatham,VA,US,flash,2.0,seconds,Big Flash.,10/31/03,36.8255556,-79.3983333
4223,10/22/03 23:40,North Hollywood,CA,US,disk,1800.0,30 minutes,An absolutely undeniable half hour view of a ship with a dramatic and identifying departure,3/17/04,34.1722222,-118.37805559999998
4224,10/22/04 3:45,Lakewood,WA,US,disk,1800.0,30 min,A disk appeared and performed several impossible turns/twists.,2/8/05,47.171944399999994,-122.5172222
4225,10/22/04 4:00,Troy,NY,US,light,900.0,15 mins,lcraft was nt moving was hovering above the tree line,10/27/04,42.728333299999996,-73.6922222
4226,10/22/04 8:00,High Point (Rural),NC,US,unknown,45.0,45 seconds?,Very fast and turned. Not a meteor.,10/27/04,35.955555600000004,-80.0055556
4227,10/22/04 17:45,Port Murray,NJ,US,sphere,10.0,10 seconds,4 spheres appeared and houvered&#44 lines up and moved quicker then lightening.,10/27/04,40.7855556,-74.91638890000002
4228,10/22/04 18:42,Picayune,MS,US,disk,78.0,1.30 minutes,Two disk shaped objects at first thought to be mylar balloons or kites in the distance,10/27/04,30.525277799999998,-89.67944440000001
4229,10/22/04 21:15,Williamsville,NY,US,light,600.0,9-10 minutes,Four UFO&#39s sighted over WIlliamsville&#44 NY,10/27/04,42.96388889999999,-78.7380556
4230,10/22/05 2:00,Liverpool,NY,US,unknown,1800.0,30 minutes,Slow moving humming noise over house.,11/3/05,43.1063889,-76.2180556
4231,10/22/05 2:25,Chilliwack (Canada),BC,CA,light,0.0,0,Had a red and yellow light. and left a tail for about10 seconds. vary quiet. flew vary fast.,11/3/05,49.166667,-121.95
4232,10/22/05 3:00,Yuma (Outside Of),AZ,US,disk,300.0,5 minutes approx,Large object on the ground..then it vanished before our eyes&#33,5/29/12,32.7252778,-114.6236111
4233,10/22/05 5:15,Irmo,SC,US,circle,5400.0,1 hr 30 min,Multiple Star Like Objects Move Towards Same Direction After Meteor Shower,11/3/05,34.0858333,-81.1833333
